ID_Pelanggan,Nama_Pelanggan,Alamat,Kota,Provinsi,Daya_Listrik,Meter_Awal,Meter_Akhir,Pemakaian_kWh,Tarif_per_kWh,Total_Tagihan,Bulan,Tahun,Status_Pembayaran,Tanggal_Tagihan,Tanggal_Pembayaran,Tanggal_Jatuh_Tempo,Denda,Total_Bayar,Metode_Pembayaran,Tarif_Key
PLN100011,Tono Saputra,Jl. Raya Semarang No.697,Semarang,Jawa Tengah,2200 VA,140663,140893,230,1444.7,332281,November,2025,Lunas,2025-11-25,2025-12-04 00:00:00,2025-12-15,0,332281,Indomaret,2200
PLN100012,Rudi Agustina,Jl. Raya Malang No.996,Malang,Jawa Timur,1300 VA,479249,479479,230,1444.7,332281,December,2023,Lunas,2023-12-17,2024-01-02 00:00:00,2024-01-06,0,332281,Alfamart,1300
PLN100013,Agus Wijaya,Jl. Raya Medan No.553,Medan,Sumatera Utara,6600 VA+,313374,315019,1645,1699.53,2795727,October,2025,Lunas,2025-10-01,2025-10-12 00:00:00,2025-10-21,0,2795727,E-Wallet,6600_plus
PLN100014,Rina Pratama,Jl. Raya Madiun No.970,Madiun,Jawa Timur,900 VA (subsidi),37277,37287,10,605.0,6050,August,2025,Belum Bayar,2025-08-27,BELUM BAYAR,2025-09-16,1089,7139,BELUM BAYAR,900_subsidi
PLN100015,Dewi Wijaya,Jl. Raya Yogyakarta No.272,Yogyakarta,Yogyakarta,1300 VA,487968,488018,50,1444.7,72235,April,2025,Lunas,2025-04-07,2025-05-23 00:00:00,2025-04-27,5000,77235,Kartu Kredit,1300
PLN100016,Rina Setiawan,Jl. Raya Banda Aceh No.449,Banda Aceh,Aceh,3500 VA,130442,130973,531,1699.53,902450,May,2025,Lunas,2025-05-04,2025-05-22 00:00:00,2025-05-24,0,902450,Alfamart,3500_5500
PLN100017,Fitri Wahyuni,Jl. Raya Semarang No.725,Semarang,Jawa Tengah,1300 VA,475552,475700,148,1444.7,213816,March,2024,Lunas,2024-03-03,2024-03-19 00:00:00,2024-03-23,0,213816,Mobile Banking,1300
PLN100018,Wahyu Kusuma,Jl. Raya Balikpapan No.741,Balikpapan,Kalimantan Timur,6600 VA+,410678,412366,1688,1699.53,2868807,July,2025,Lunas,2025-07-08,2025-07-11 00:00:00,2025-07-28,0,2868807,Transfer Bank,6600_plus
PLN100019,Dian Hidayat,Jl. Raya Binjai No.885,Binjai,Sumatera Utara,2200 VA,211926,212089,163,1444.7,235486,July,2023,Lunas,2023-07-02,2023-08-05 00:00:00,2023-07-22,5000,240486,Mobile Banking,2200
PLN100020,Agus Pratama,Jl. Raya Makassar No.433,Makassar,Sulawesi Selatan,900 VA (subsidi),459447,459482,35,605.0,21175,June,2025,Belum Bayar,2025-06-08,BELUM BAYAR,2025-06-28,2964,24139,BELUM BAYAR,900_subsidi
PLN100021,Fajar Aminah,Jl. Raya Madiun No.857,Madiun,Jawa Timur,450 VA,445857,445960,103,415.0,42745,June,2023,Lunas,2023-06-25,2023-07-10 00:00:00,2023-07-15,0,42745,Mobile Banking,450_subsidi
PLN100022,Hendra Gunawan,Jl. Raya Kediri No.3,Kediri,Jawa Timur,6600 VA+,411269,412633,1364,1699.53,2318159,May,2024,Lunas,2024-05-26,2024-06-12 00:00:00,2024-06-15,0,2318159,Kartu Kredit,6600_plus
PLN100023,Rina Wijaya,Jl. Raya Jakarta Timur No.992,Jakarta Timur,DKI Jakarta,900 VA (subsidi),393030,393154,124,605.0,75020,November,2025,Lunas,2025-11-02,2025-11-17 00:00:00,2025-11-22,0,75020,Alfamart,900_subsidi
PLN100024,Rizky Wijaya,Jl. Raya Madiun No.83,Madiun,Jawa Timur,3500 VA,36359,36631,272,1699.53,462272,May,2023,Lunas,2023-05-20,2023-05-23 00:00:00,2023-06-09,0,462272,Alfamart,3500_5500
PLN100025,Fitri Wahyuni,Jl. Raya Mataram No.430,Mataram,NTB,1300 VA,490837,491055,218,1444.7,314945,October,2025,Lunas,2025-10-11,2025-10-21 00:00:00,2025-10-31,0,314945,Mobile Banking,1300
PLN100026,Wahyu Setiawan,Jl. Raya Bogor No.469,Bogor,Jawa Barat,900 VA (non-subsidi),241147,241273,126,1352.0,170352,May,2023,Lunas,2023-05-01,2023-05-04 00:00:00,2023-05-21,0,170352,Transfer Bank,900_nonsubsidi
PLN100027,Fajar Pratama,Jl. Raya Makassar No.956,Makassar,Sulawesi Selatan,900 VA (non-subsidi),194688,194738,50,1352.0,67600,May,2023,Lunas,2023-05-08,2023-05-25 00:00:00,2023-05-28,0,67600,Kartu Kredit,900_nonsubsidi
PLN100028,Rina Wahyuni,Jl. Raya Banda Aceh No.684,Banda Aceh,Aceh,2200 VA,54953,55309,356,1444.7,514313,August,2024,Belum Bayar,2024-08-22,BELUM BAYAR,2024-09-11,20572,534885,BELUM BAYAR,2200
PLN100029,Wahyu Aminah,Jl. Raya Pekanbaru No.279,Pekanbaru,Riau,900 VA (subsidi),180685,180768,83,605.0,50215,February,2024,Lunas,2024-02-23,2024-03-02 00:00:00,2024-03-14,0,50215,Alfamart,900_subsidi
PLN100030,Rina Putri,Jl. Raya Pekanbaru No.95,Pekanbaru,Riau,1300 VA,2602,2858,256,1444.7,369843,June,2024,Lunas,2024-06-02,2024-06-10 00:00:00,2024-06-22,0,369843,Mobile Banking,1300
PLN100031,Tono Saputra,Jl. Raya Yogyakarta No.115,Yogyakarta,Yogyakarta,900 VA (subsidi),19806,19889,83,605.0,50215,October,2023,Belum Bayar,2023-10-18,BELUM BAYAR,2023-11-07,9038,59253,BELUM BAYAR,900_subsidi
PLN100032,Fajar Wijaya,Jl. Raya Balikpapan No.316,Balikpapan,Kalimantan Timur,900 VA (non-subsidi),110909,111140,231,1352.0,312312,March,2023,Lunas,2023-03-12,2023-03-23 00:00:00,2023-04-01,0,312312,E-Wallet,900_nonsubsidi
PLN100033,Fajar Gunawan,Jl. Raya Pekanbaru No.948,Pekanbaru,Riau,3500 VA,425382,426077,695,1699.53,1181173,November,2023,Lunas,2023-11-26,2023-12-01 00:00:00,2023-12-16,0,1181173,Kartu Kredit,3500_5500
PLN100034,Ayu Kurniawan,Jl. Raya Banda Aceh No.274,Banda Aceh,Aceh,900 VA (subsidi),458210,458266,56,605.0,33880,July,2023,Lunas,2023-07-13,2023-07-19 00:00:00,2023-08-02,0,33880,E-Wallet,900_subsidi
PLN100035,Tono Hidayat,Jl. Raya Denpasar No.229,Denpasar,Bali,450 VA,173019,173103,84,415.0,34860,January,2024,Lunas,2024-01-13,2024-01-21 00:00:00,2024-02-02,0,34860,ATM Transfer,450_subsidi
PLN100036,Rizky Setiawan,Jl. Raya Yogyakarta No.962,Yogyakarta,Yogyakarta,450 VA,305373,305396,23,415.0,9545,May,2024,Belum Bayar,2024-05-06,BELUM BAYAR,2024-05-26,763,10308,BELUM BAYAR,450_subsidi
PLN100037,Siti Aminah,Jl. Raya Lombok Timur No.747,Lombok Timur,NTB,2200 VA,268801,269132,331,1444.7,478196,April,2025,Lunas,2025-04-20,2025-06-04 00:00:00,2025-05-10,9563,487759,ATM Transfer,2200
PLN100038,Siti Ramadhan,Jl. Raya Balikpapan No.373,Balikpapan,Kalimantan Timur,900 VA (non-subsidi),165572,165582,10,1352.0,13520,October,2024,Lunas,2024-10-20,2024-10-29 00:00:00,2024-11-09,0,13520,Alfamart,900_nonsubsidi
PLN100039,Rina Kusuma,Jl. Raya Binjai No.714,Binjai,Sumatera Utara,900 VA (subsidi),221394,221434,40,605.0,24200,September,2023,Lunas,2023-09-07,2023-09-12 00:00:00,2023-09-27,0,24200,Alfamart,900_subsidi
PLN100040,Ika Putri,Jl. Raya Medan No.312,Medan,Sumatera Utara,900 VA (subsidi),304948,305079,131,605.0,79255,April,2025,Lunas,2025-04-26,2025-05-10 00:00:00,2025-05-16,0,79255,Indomaret,900_subsidi
PLN100041,Agus Saputra,Jl. Raya Balikpapan No.675,Balikpapan,Kalimantan Timur,900 VA (subsidi),332679,332843,164,605.0,99220,September,2025,Lunas,2025-09-22,2025-09-29 00:00:00,2025-10-12,0,99220,Kartu Kredit,900_subsidi
PLN100042,Rina Pratama,Jl. Raya Bandar Lampung No.26,Bandar Lampung,Lampung,450 VA,446442,446507,65,415.0,26975,July,2025,Lunas,2025-07-20,2025-08-07 00:00:00,2025-08-09,0,26975,Mobile Banking,450_subsidi
PLN100043,Hendra Agustina,Jl. Raya Medan No.672,Medan,Sumatera Utara,1300 VA,223617,223899,282,1444.7,407405,July,2023,Lunas,2023-07-25,2023-11-12 00:00:00,2023-08-14,24444,431849,Alfamart,1300
PLN100044,Tono Santoso,Jl. Raya Makassar No.468,Makassar,Sulawesi Selatan,900 VA (subsidi),279365,279466,101,605.0,61105,June,2025,Belum Bayar,2025-06-22,BELUM BAYAR,2025-07-12,12221,73326,BELUM BAYAR,900_subsidi
PLN100045,Ayu Kurniawan,Jl. Raya Pekanbaru No.851,Pekanbaru,Riau,3500 VA,390633,390889,256,1699.53,435080,May,2025,Belum Bayar,2025-05-06,BELUM BAYAR,2025-05-26,60911,495991,BELUM BAYAR,3500_5500
PLN100046,Wahyu Kurniawan,Jl. Raya Magelang No.785,Magelang,Jawa Tengah,2200 VA,126241,126433,192,1444.7,277382,August,2025,Lunas,2025-08-21,2025-08-30 00:00:00,2025-09-10,0,277382,Mobile Banking,2200
PLN100047,Wahyu Hidayat,Jl. Raya Gianyar No.83,Gianyar,Bali,900 VA (subsidi),364737,364829,92,605.0,55660,March,2024,Lunas,2024-03-13,2024-03-26 00:00:00,2024-04-02,0,55660,Indomaret,900_subsidi
PLN100048,Ayu Saputra,Jl. Raya Balikpapan No.212,Balikpapan,Kalimantan Timur,2200 VA,306767,307225,458,1444.7,661673,January,2025,Belum Bayar,2025-01-25,BELUM BAYAR,2025-02-14,0,661673,BELUM BAYAR,2200
PLN100049,Ika Setiawan,Jl. Raya Samarinda No.306,Samarinda,Kalimantan Timur,2200 VA,392562,392913,351,1444.7,507090,March,2025,Lunas,2025-03-18,2025-05-06 00:00:00,2025-04-07,10141,517231,Indomaret,2200
PLN100050,Fitri Putri,Jl. Raya Balikpapan No.399,Balikpapan,Kalimantan Timur,900 VA (non-subsidi),87516,87530,14,1352.0,18928,February,2025,Belum Bayar,2025-02-24,BELUM BAYAR,2025-03-16,757,19685,BELUM BAYAR,900_nonsubsidi
PLN100051,Yuli Saputra,Jl. Raya Kediri No.607,Kediri,Jawa Timur,1300 VA,337637,337985,348,1444.7,502756,February,2023,Lunas,2023-02-03,2023-03-19 00:00:00,2023-02-23,10055,512811,Transfer Bank,1300
PLN100052,Wahyu Setiawan,Jl. Raya Badung No.335,Badung,Bali,900 VA (non-subsidi),395173,395269,96,1352.0,129792,January,2025,Belum Bayar,2025-01-09,BELUM BAYAR,2025-01-29,18170,147962,BELUM BAYAR,900_nonsubsidi
PLN100053,Wahyu Lestari,Jl. Raya Bandung No.768,Bandung,Jawa Barat,1300 VA,341664,341862,198,1444.7,286051,November,2024,Lunas,2024-11-08,2024-12-04 00:00:00,2024-11-28,5721,291772,E-Wallet,1300
PLN100054,Budi Pratama,Jl. Raya Jakarta Selatan No.637,Jakarta Selatan,DKI Jakarta,900 VA (subsidi),351833,351989,156,605.0,94380,September,2023,Lunas,2023-09-16,2023-12-05 00:00:00,2023-10-06,5000,99380,Kartu Kredit,900_subsidi
PLN100055,Wahyu Kurniawan,Jl. Raya Sibolga No.622,Sibolga,Sumatera Utara,6600 VA+,428431,430549,2118,1699.53,3599605,August,2023,Lunas,2023-08-25,2023-09-12 00:00:00,2023-09-14,0,3599605,Transfer Bank,6600_plus
PLN100056,Rina Wahyuni,Jl. Raya Yogyakarta No.407,Yogyakarta,Yogyakarta,6600 VA+,309371,311429,2058,1699.53,3497633,January,2024,Lunas,2024-01-03,2024-01-06 00:00:00,2024-01-23,0,3497633,Kartu Kredit,6600_plus
PLN100057,Rina Lestari,Jl. Raya Yogyakarta No.816,Yogyakarta,Yogyakarta,6600 VA+,279315,280311,996,1699.53,1692732,March,2023,Lunas,2023-03-12,2023-03-28 00:00:00,2023-04-01,0,1692732,Kartu Kredit,6600_plus
PLN100058,Ayu Santoso,Jl. Raya Bandar Lampung No.109,Bandar Lampung,Lampung,900 VA (non-subsidi),468341,468442,101,1352.0,136552,December,2024,Belum Bayar,2024-12-21,BELUM BAYAR,2025-01-10,32772,169324,BELUM BAYAR,900_nonsubsidi
PLN100059,Dewi Setiawan,Jl. Raya Jakarta Barat No.631,Jakarta Barat,DKI Jakarta,2200 VA,254142,254491,349,1444.7,504200,November,2025,Lunas,2025-11-25,2026-03-01 00:00:00,2025-12-15,20168,524368,ATM Transfer,2200
PLN100060,Ayu Lestari,Jl. Raya Semarang No.286,Semarang,Jawa Tengah,3500 VA,243649,244641,992,1699.53,1685934,April,2024,Lunas,2024-04-25,2024-05-05 00:00:00,2024-05-15,0,1685934,Transfer Bank,3500_5500
PLN100061,Rina Lestari,Jl. Raya Badung No.218,Badung,Bali,900 VA (non-subsidi),147530,147621,91,1352.0,123032,May,2024,Belum Bayar,2024-05-11,BELUM BAYAR,2024-05-31,29527,152559,BELUM BAYAR,900_nonsubsidi
PLN100062,Wahyu Saputra,Jl. Raya Sidoarjo No.88,Sidoarjo,Jawa Timur,900 VA (subsidi),291964,292072,108,605.0,65340,March,2025,Lunas,2025-03-16,2025-03-31 00:00:00,2025-04-05,0,65340,Indomaret,900_subsidi
PLN100063,Budi Aminah,Jl. Raya Badung No.709,Badung,Bali,900 VA (subsidi),291126,291179,53,605.0,32065,December,2024,Lunas,2024-12-16,2025-01-02 00:00:00,2025-01-05,0,32065,ATM Transfer,900_subsidi
PLN100064,Eka Ramadhan,Jl. Raya Samarinda No.258,Samarinda,Kalimantan Timur,900 VA (subsidi),63633,63681,48,605.0,29040,January,2024,Lunas,2024-01-11,2024-04-29 00:00:00,2024-01-31,5000,34040,Mobile Banking,900_subsidi
PLN100065,Agus Pratama,Jl. Raya Serang No.742,Serang,Banten,1300 VA,148951,149372,421,1444.7,608219,October,2025,Belum Bayar,2025-10-20,BELUM BAYAR,2025-11-09,36493,644712,BELUM BAYAR,1300
PLN100066,Rina Pratama,Jl. Raya Binjai No.15,Binjai,Sumatera Utara,2200 VA,24360,24863,503,1444.7,726684,September,2023,Belum Bayar,2023-09-09,BELUM BAYAR,2023-09-29,130803,857487,BELUM BAYAR,2200
PLN100067,Rina Ramadhan,Jl. Raya Banda Aceh No.106,Banda Aceh,Aceh,3500 VA,251306,251984,678,1699.53,1152281,July,2024,Lunas,2024-07-16,2024-07-17 00:00:00,2024-08-05,0,1152281,ATM Transfer,3500_5500
PLN100068,Rina Aminah,Jl. Raya Bandar Lampung No.504,Bandar Lampung,Lampung,900 VA (subsidi),79042,79222,180,605.0,108900,April,2023,Belum Bayar,2023-04-05,BELUM BAYAR,2023-04-25,10890,119790,BELUM BAYAR,900_subsidi
PLN100069,Andi Pratama,Jl. Raya Tasikmalaya No.621,Tasikmalaya,Jawa Barat,1300 VA,274624,274978,354,1444.7,511424,March,2024,Lunas,2024-03-25,2024-05-23 00:00:00,2024-04-14,10228,521652,E-Wallet,1300
PLN100070,Ika Setiawan,Jl. Raya Gianyar No.62,Gianyar,Bali,1300 VA,109737,109940,203,1444.7,293274,July,2023,Lunas,2023-07-25,2023-07-27 00:00:00,2023-08-14,0,293274,Mobile Banking,1300
PLN100071,Fitri Wijaya,Jl. Raya Makassar No.3,Makassar,Sulawesi Selatan,900 VA (non-subsidi),17971,18112,141,1352.0,190632,July,2025,Lunas,2025-07-10,2025-10-28 00:00:00,2025-07-30,11437,202069,E-Wallet,900_nonsubsidi
PLN100072,Tono Aminah,Jl. Raya Yogyakarta No.807,Yogyakarta,Yogyakarta,2200 VA,60645,61175,530,1444.7,765691,January,2024,Lunas,2024-01-14,2024-01-22 00:00:00,2024-02-03,0,765691,E-Wallet,2200
PLN100073,Dewi Aminah,Jl. Raya Malang No.610,Malang,Jawa Timur,2200 VA,65903,66197,294,1444.7,424742,July,2024,Lunas,2024-07-15,2024-07-27 00:00:00,2024-08-04,0,424742,ATM Transfer,2200
PLN100074,Rizky Saputra,Jl. Raya Balikpapan No.613,Balikpapan,Kalimantan Timur,450 VA,169883,169989,106,415.0,43990,April,2025,Lunas,2025-04-24,2025-05-01 00:00:00,2025-05-14,0,43990,Kartu Kredit,450_subsidi
PLN100075,Ika Wahyuni,Jl. Raya Banda Aceh No.591,Banda Aceh,Aceh,450 VA,273081,273086,5,415.0,2075,December,2023,Lunas,2023-12-16,2024-01-29 00:00:00,2024-01-05,5000,7075,Alfamart,450_subsidi
PLN100076,Dian Kusuma,Jl. Raya Bandar Lampung No.482,Bandar Lampung,Lampung,900 VA (non-subsidi),352173,352342,169,1352.0,228488,October,2024,Lunas,2024-10-11,2024-10-24 00:00:00,2024-10-31,0,228488,Kartu Kredit,900_nonsubsidi
PLN100077,Rina Putri,Jl. Raya Yogyakarta No.834,Yogyakarta,Yogyakarta,2200 VA,46855,47168,313,1444.7,452191,March,2023,Lunas,2023-03-15,2023-03-27 00:00:00,2023-04-04,0,452191,E-Wallet,2200
PLN100078,Rizky Lestari,Jl. Raya Banda Aceh No.424,Banda Aceh,Aceh,900 VA (subsidi),327337,327439,102,605.0,61710,October,2025,Lunas,2025-10-12,2025-10-13 00:00:00,2025-11-01,0,61710,Mobile Banking,900_subsidi
PLN100079,Wahyu Saputra,Jl. Raya Bogor No.449,Bogor,Jawa Barat,3500 VA,15408,16135,727,1699.53,1235558,August,2025,Belum Bayar,2025-08-04,BELUM BAYAR,2025-08-24,247111,1482669,BELUM BAYAR,3500_5500
PLN100080,Fitri Ramadhan,Jl. Raya Jakarta Selatan No.566,Jakarta Selatan,DKI Jakarta,900 VA (non-subsidi),479628,479638,10,1352.0,13520,March,2024,Lunas,2024-03-27,2024-07-08 00:00:00,2024-04-16,5000,18520,E-Wallet,900_nonsubsidi
PLN100081,Dewi Agustina,Jl. Raya Banda Aceh No.522,Banda Aceh,Aceh,2200 VA,253701,253968,267,1444.7,385735,March,2025,Belum Bayar,2025-03-27,BELUM BAYAR,2025-04-16,30858,416593,BELUM BAYAR,2200
PLN100082,Tono Saputra,Jl. Raya Jakarta Timur No.944,Jakarta Timur,DKI Jakarta,1300 VA,37247,37600,353,1444.7,509979,September,2023,Lunas,2023-09-28,2023-12-11 00:00:00,2023-10-18,10199,520178,ATM Transfer,1300
PLN100083,Rizky Putri,Jl. Raya Bandar Lampung No.744,Bandar Lampung,Lampung,900 VA (subsidi),78698,78906,208,605.0,125840,August,2025,Lunas,2025-08-28,2025-09-07 00:00:00,2025-09-17,0,125840,Alfamart,900_subsidi
PLN100084,Fajar Setiawan,Jl. Raya Samarinda No.891,Samarinda,Kalimantan Timur,900 VA (subsidi),201699,201787,88,605.0,53240,April,2024,Lunas,2024-04-19,2024-05-15 00:00:00,2024-05-09,5000,58240,ATM Transfer,900_subsidi
PLN100085,Rina Ramadhan,Jl. Raya Pekanbaru No.396,Pekanbaru,Riau,6600 VA+,19394,20408,1014,1699.53,1723323,October,2023,Lunas,2023-10-16,2023-12-18 00:00:00,2023-11-05,34466,1757789,E-Wallet,6600_plus
PLN100086,Sari Lestari,Jl. Raya Bandar Lampung No.539,Bandar Lampung,Lampung,3500 VA,76029,76578,549,1699.53,933042,January,2023,Lunas,2023-01-24,2023-01-28 00:00:00,2023-02-13,0,933042,Transfer Bank,3500_5500
PLN100087,Rina Kurniawan,Jl. Raya Banda Aceh No.639,Banda Aceh,Aceh,1300 VA,172825,173262,437,1444.7,631334,June,2023,Belum Bayar,2023-06-28,BELUM BAYAR,2023-07-18,113640,744974,BELUM BAYAR,1300
PLN100088,Hendra Hidayat,Jl. Raya Lombok Timur No.894,Lombok Timur,NTB,1300 VA,331561,331910,349,1444.7,504200,May,2023,Lunas,2023-05-08,2023-05-15 00:00:00,2023-05-28,0,504200,Kartu Kredit,1300
PLN100089,Andi Setiawan,Jl. Raya Banda Aceh No.455,Banda Aceh,Aceh,900 VA (subsidi),25024,25112,88,605.0,53240,August,2024,Lunas,2024-08-01,2024-08-12 00:00:00,2024-08-21,0,53240,ATM Transfer,900_subsidi
PLN100090,Dian Wijaya,Jl. Raya Tegal No.580,Tegal,Jawa Tengah,1300 VA,92410,92786,376,1444.7,543207,December,2023,Lunas,2023-12-06,2024-03-15 00:00:00,2023-12-26,21728,564935,Kartu Kredit,1300
PLN100091,Fitri Agustina,Jl. Raya Pekanbaru No.238,Pekanbaru,Riau,1300 VA,134550,134864,314,1444.7,453636,May,2024,Lunas,2024-05-15,2024-08-03 00:00:00,2024-06-04,18145,471781,ATM Transfer,1300
PLN100092,Fajar Wijaya,Jl. Raya Bogor No.602,Bogor,Jawa Barat,900 VA (subsidi),131945,132123,178,605.0,107690,April,2025,Lunas,2025-04-23,2025-05-05 00:00:00,2025-05-13,0,107690,E-Wallet,900_subsidi
PLN100093,Rina Aminah,Jl. Raya Magelang No.589,Magelang,Jawa Tengah,900 VA (subsidi),436101,436178,77,605.0,46585,July,2024,Lunas,2024-07-01,2024-07-19 00:00:00,2024-07-21,0,46585,E-Wallet,900_subsidi
PLN100094,Siti Gunawan,Jl. Raya Lombok Timur No.853,Lombok Timur,NTB,3500 VA,419231,419832,601,1699.53,1021418,July,2024,Lunas,2024-07-25,2024-09-12 00:00:00,2024-08-14,20428,1041846,Kartu Kredit,3500_5500
PLN100095,Agus Wahyuni,Jl. Raya Solo No.644,Solo,Jawa Tengah,900 VA (subsidi),414363,414459,96,605.0,58080,March,2023,Lunas,2023-03-10,2023-03-14 00:00:00,2023-03-30,0,58080,Transfer Bank,900_subsidi
PLN100096,Rina Hidayat,Jl. Raya Tangerang No.206,Tangerang,Banten,900 VA (subsidi),279287,279319,32,605.0,19360,November,2025,Lunas,2025-11-12,2025-11-17 00:00:00,2025-12-02,0,19360,ATM Transfer,900_subsidi
PLN100097,Rina Kurniawan,Jl. Raya Badung No.824,Badung,Bali,900 VA (subsidi),396255,396392,137,605.0,82885,May,2023,Belum Bayar,2023-05-05,BELUM BAYAR,2023-05-25,18234,101119,BELUM BAYAR,900_subsidi
PLN100098,Hendra Lestari,Jl. Raya Bandar Lampung No.93,Bandar Lampung,Lampung,2200 VA,281979,282318,339,1444.7,489753,January,2023,Lunas,2023-01-09,2023-01-17 00:00:00,2023-01-29,0,489753,Alfamart,2200
PLN100099,Hendra Lestari,Jl. Raya Lombok Timur No.111,Lombok Timur,NTB,1300 VA,325520,325820,300,1444.7,433410,July,2025,Belum Bayar,2025-07-01,BELUM BAYAR,2025-07-21,78013,511423,BELUM BAYAR,1300
PLN100100,Ayu Gunawan,Jl. Raya Mataram No.651,Mataram,NTB,2200 VA,214800,215064,264,1444.7,381401,August,2024,Lunas,2024-08-21,2024-08-22 00:00:00,2024-09-10,0,381401,ATM Transfer,2200
PLN100101,Rina Aminah,Jl. Raya Bekasi No.398,Bekasi,Jawa Barat,1300 VA,308848,308935,87,1444.7,125689,November,2025,Lunas,2025-11-14,2025-11-27 00:00:00,2025-12-04,0,125689,Kartu Kredit,1300
PLN100102,Sari Lestari,Jl. Raya Samarinda No.962,Samarinda,Kalimantan Timur,6600 VA+,194017,195264,1247,1699.53,2119314,March,2023,Lunas,2023-03-23,2023-03-30 00:00:00,2023-04-12,0,2119314,E-Wallet,6600_plus
PLN100103,Eka Aminah,Jl. Raya Banda Aceh No.558,Banda Aceh,Aceh,3500 VA,209142,209739,597,1699.53,1014619,November,2024,Lunas,2024-11-02,2025-01-20 00:00:00,2024-11-22,20292,1034911,Transfer Bank,3500_5500
PLN100104,Agus Kusuma,Jl. Raya Mataram No.52,Mataram,NTB,2200 VA,413424,413603,179,1444.7,258601,April,2024,Lunas,2024-04-05,2024-04-22 00:00:00,2024-04-25,0,258601,Mobile Banking,2200
PLN100105,Ika Pratama,Jl. Raya Bandar Lampung No.337,Bandar Lampung,Lampung,2200 VA,450777,451052,275,1444.7,397292,January,2023,Belum Bayar,2023-01-09,BELUM BAYAR,2023-01-29,15891,413183,BELUM BAYAR,2200
PLN100106,Fajar Putri,Jl. Raya Bandar Lampung No.677,Bandar Lampung,Lampung,3500 VA,188001,188822,821,1699.53,1395314,September,2023,Lunas,2023-09-01,2023-09-11 00:00:00,2023-09-21,0,1395314,Transfer Bank,3500_5500
PLN100107,Rudi Putri,Jl. Raya Kediri No.539,Kediri,Jawa Timur,900 VA (subsidi),235792,236025,233,605.0,140965,May,2023,Lunas,2023-05-16,2023-05-19 00:00:00,2023-06-05,0,140965,Indomaret,900_subsidi
PLN100108,Rizky Pratama,Jl. Raya Banda Aceh No.745,Banda Aceh,Aceh,2200 VA,240820,241146,326,1444.7,470972,October,2025,Lunas,2025-10-10,2025-10-25 00:00:00,2025-10-30,0,470972,E-Wallet,2200
